gene_sym,binding_sites
ACER1,1
ACER2,34
ACER3,65
ACHE,6
ACIN1,17
ACKR2,26
ACKR3,29
ACKR4,21
ACLY,27
ACMSD,4
ACO1,11
ACO2,9
ACOD1,7
ACOT1,1
ACOT11,6
ACOT12,1
ACOT13,17
ACOT2,5
ACOT4,1
ACOT7,7
ACOT8,4
ACOT9,2
ACOX1,37
ACOX3,6
ACP1,7
ACP2,5
ACP3,17
ACP6,13
ACP7,12
ACRBP,2
ACRV1,4
ACSBG1,12
ACSBG2,6
ACSF2,4
ACSF3,3
ACSL1,55
ACSL3,53
ACSL4,95
ACSL5,17
ACSL6,66
ACSM1,3
ACSM2A,20
ACSM2B,13
ACSM3,3
ACSM5,18
ACSM6,1
ACSS1,5
ACSS2,1
ACSS3,11
ACTA1,20
ACTA2,6
ACTB,28
ACTBL2,9
ACTC1,35
ACTG1,13
ACTL10,2
ACTL6A,31
ACTL6B,1
ACTL7A,3
ACTN1,15
ACTN2,9
ACTN4,40
ACTR10,14
ACTR1A,28
ACTR1B,14
ACTR2,50
ACTR3,48
ACTR3B,16
ACTR3C,15
ACTR5,1
ACTR6,7
ACTR8,9
ACTRT3,9
ACVR1,49
ACVR1B,23
ACVR1C,80
ACVR2A,88
ACVR2B,136
ACVRL1,15
ACY1,2
ACY3,3
ACYP1,3
ACYP2,39
ADA,6
ADA2,14
ADAL,12
ADAM10,95
ADAM11,13
ADAM12,78
ADAM15,2
ADAM17,33
ADAM18,12
ADAM19,52
ADAM2,2
ADAM20,5
ADAM21,8
ADAM22,104
ADAM23,55
ADAM28,41
ADAM29,8
ADAM30,22
ADAM32,1
ADAM33,4
ADAM7,15
ADAM8,4
ADAM9,54
ADAMDEC1,23
ADAMTS1,39
ADAMTS10,14
ADAMTS13,2
ADAMTS14,11
ADAMTS15,36
ADAMTS16,8
ADAMTS17,34
ADAMTS18,22
ADAMTS19,29
ADAMTS2,10
ADAMTS3,63
ADAMTS4,22
ADAMTS5,99
ADAMTS6,83
ADAMTS7,6
ADAMTS8,23
ADAMTS9,41
ADAMTSL1,32
ADAMTSL3,49
ADAMTSL4,4
ADAMTSL5,9
ADAP1,5
ADAP2,3
ADAR,35
ADARB1,41
ADARB2,46
ADAT1,6
ADAT2,34
ADAT3,2
ADCK1,6
ADCY1,89
ADCY10,8
ADCY2,26
ADCY3,26
ADCY5,16
ADCY6,30
ADCY7,20
ADCY9,38
ADCYAP1,52
ADCYAP1R1,33
ADD1,30
ADD2,26
ADD3,78
ADGB,4
ADGRA1,19
ADGRA2,28
ADGRA3,14
ADGRB1,8
ADGRB2,5
ADGRB3,73
ADGRD1,10
ADGRE1,2
ADGRE2,21
ADGRE3,12
ADGRE5,6
ADGRF1,18
ADGRF2,23
ADGRF3,6
ADGRF4,5
ADGRF5,33
ADGRG1,4
ADGRG2,34
ADGRG3,4
ADGRG4,4
ADGRG5,9
ADGRG6,28
ADGRG7,8
ADGRL1,48
ADGRL2,50
ADGRL3,75
ADGRL4,18
ADGRV1,8
ADH1A,3
ADH1B,15
ADH1C,4
ADH4,12
ADH5,32
ADH6,13
ADH7,11
ADHFE1,7
ADI1,12
ADIPOQ,21
ADIPOR1,23
ADIPOR2,56
ADIRF,1
ADK,20
ADM,27
ADM2,2
ADM5,2
ADNP,47
ADNP2,20
ADO,45
ADORA1,4
ADORA2A,7
ADORA2B,9
ADORA3,23
ADPGK,12
ADPRH,18
ADPRHL1,12
ADPRM,6
ADPRS,2
ADRA1A,71
ADRA1B,3
ADRA1D,12
ADRA2A,18
ADRA2B,11
ADRA2C,2
ADRB1,27
ADRB2,43
ADRB3,24
ADRM1,1
ADSL,6
ADSS1,6
ADSS2,43
ADTRP,10
AEBP1,1
AEBP2,104
AEN,16
AFAP1,32
AFAP1L1,23
AFAP1L2,26
AFDN,60
AFF1,59
AFF2,54
AFF3,58
AFF4,132
AFG1L,45
AFG3L2,11
AFM,1
AFMID,7
AFP,8
AFTPH,54
AGA,9
AGAP1,103
AGAP11,4
AGAP2,13
AGAP3,3
AGAP4,5
AGAP5,5
AGAP6,5
AGAP9,3
AGBL1,4
AGBL2,3
AGBL3,14
AGBL4,7
AGBL5,4
AGER,4
AGFG1,127
AGFG2,14
AGGF1,20
AGK,21
AGL,31
AGMAT,7
AGMO,15
AGO1,132
AGO2,21
AGO3,50
AGO4,81
AGPAT1,27
AGPAT3,22
AGPAT4,16
AGPAT5,24
AGPS,38
AGR2,2
AGR3,7
AGRN,9
AGT,3
AGTPBP1,24
AGTR1,30
AGTR2,17
AGXT,2
AGXT2,12
AHCTF1,57
AHCY,8
AHCYL1,37
AHCYL2,52
AHDC1,42
AHI1,21
AHNAK,20
AHNAK2,6
AHR,81
AHRR,9
AHSA1,6
AHSA2P,51
AHSG,3
AHSP,1
AICDA,16
AIDA,45
AIF1L,30
AIFM1,9
AIFM2,11
AIFM3,4
AIG1,29
AIM2,2
AIMP1,17
AIMP2,4
AIP,3
AIPL1,15
AIRE,2
AJAP1,40
AJUBA,31
AK1,8
AK2,39
AK3,39
AK4,55
AK5,13
AK6,9
AK7,31
AK9,31
AKAIN1,12
AKAP1,37
AKAP10,29
AKAP11,68
AKAP12,43
AKAP13,72
AKAP14,1
AKAP17A,3
AKAP3,5
AKAP4,5
AKAP5,45
AKAP6,78
AKAP7,17
AKAP8,11
AKAP9,24
AKIP1,6
AKIRIN1,63
AKIRIN2,42
AKNA,3
AKNAD1,6
AKR1B1,6
AKR1B10,7
AKR1B15,5
AKR1C1,3
AKR1C2,14
AKR1C3,6
AKR1C4,2
AKR1D1,19
AKR1E2,5
AKR7A2,11
AKR7A3,1
AKT1,11
AKT1S1,12
AKT2,7
AKT3,71
AKTIP,46
ALAD,18
ALAS1,7
ALAS2,3
ALB,5
ALCAM,90
ALDH16A1,11
ALDH18A1,11
ALDH1A1,8
ALDH1A2,20
ALDH1A3,19
ALDH1B1,8
ALDH1L2,44
ALDH2,7
ALDH3A1,2
ALDH3A2,11
ALDH3B1,2
ALDH3B2,4
ALDH4A1,5
ALDH5A1,27
ALDH6A1,40
ALDH7A1,14
ALDH8A1,9
ALDH9A1,14
ALDOA,4
ALDOB,17
ALDOC,2
ALG1,10
ALG10,18
ALG10B,52
ALG11,19
ALG12,3
ALG13,27
ALG14,12
ALG2,25
ALG5,4
ALG6,23
ALG8,10
ALG9,23
ALK,18
ALKAL1,9
ALKAL2,14
ALKBH1,22
ALKBH2,3
ALKBH3,3
ALKBH4,3
ALKBH5,23
ALKBH6,3
ALKBH7,2
ALKBH8,23
ALMS1,4
ALOX12,6
ALOX12B,7
ALOX15,12
ALOX15B,3
ALOX5,5
ALOX5AP,5
ALOXE3,12
ALPG,9
ALPI,7
ALPK1,5
ALPK2,7
ALPK3,30
ALPL,12
ALS2,58
ALS2CL,14
ALX1,12
ALX3,1
ALX4,34
ALYREF,2
AMACR,27
AMBN,12
AMBP,2
AMBRA1,12
AMD1,59
AMDHD1,10
AMELX,8
AMELY,4
AMER1,46
AMER2,80
AMER3,7
AMFR,34
AMHR2,3
AMIGO1,12
AMIGO2,17
AMIGO3,1
AMMECR1,113
AMMECR1L,59
AMN1,14
AMOT,79
AMOTL1,43
AMOTL2,22
AMPD2,1
AMPD3,15
AMPH,34
AMT,17
AMTN,6
AMZ1,19
AMZ2,7
ANAPC1,21
ANAPC10,21
ANAPC11,9
ANAPC13,9
ANAPC15,3
ANAPC16,19
ANAPC4,6
ANAPC5,5
ANAPC7,19
ANG,1
ANGEL1,15
ANGEL2,49
ANGPT1,32
ANGPT2,26
ANGPT4,17
ANGPTL1,21
ANGPTL2,13
ANGPTL3,21
ANGPTL4,4
ANGPTL5,14
ANGPTL6,1
ANGPTL7,9
ANHX,3
ANK1,28
ANK2,45
ANK3,85
ANKDD1A,10
ANKDD1B,6
ANKEF1,4
ANKFY1,59
ANKH,47
ANKHD1,16
ANKHD1-EIF4EBP3,3
ANKIB1,94
ANKLE1,6
ANKLE2,11
ANKMY1,2
ANKMY2,18
ANKRA2,40
ANKRD1,9
ANKRD10,32
ANKRD11,22
ANKRD12,63
ANKRD13A,43
ANKRD13B,18
ANKRD13C,81
ANKRD13D,1
ANKRD16,4
ANKRD17,79
ANKRD18A,7
ANKRD2,1
ANKRD20A1,17
ANKRD20A2P,17
ANKRD20A3P,16
ANKRD20A4P,18
ANKRD22,30
ANKRD23,6
ANKRD24,4
ANKRD26,28
ANKRD27,36
ANKRD28,70
ANKRD29,43
ANKRD30A,8
ANKRD30B,4
ANKRD31,5
ANKRD33,1
ANKRD33B,28
ANKRD34A,21
ANKRD34B,19
ANKRD34C,17
ANKRD36,3
ANKRD36B,11
ANKRD36C,6
ANKRD37,5
ANKRD39,2
ANKRD40,40
ANKRD42,45
ANKRD44,106
ANKRD45,31
ANKRD46,43
ANKRD49,17
ANKRD50,63
ANKRD52,67
ANKRD53,5
ANKRD54,5
ANKRD55,12
ANKRD6,23
ANKRD60,6
ANKRD61,8
ANKRD62,9
ANKRD63,21
ANKRD65,3
ANKRD66,2
ANKRD7,7
ANKS1A,79
ANKS1B,72
ANKS3,2
ANKS4B,20
ANKS6,10
ANKUB1,18
ANKZF1,2
ANLN,35
ANO1,29
ANO10,6
ANO2,6
ANO3,47
ANO4,33
ANO5,56
ANO6,62
ANO8,16
ANO9,1
ANOS1,32
ANP32A,17
ANP32B,7
ANP32E,33
ANPEP,2
ANTXR1,57
ANTXR2,63
ANTXRL,1
ANXA1,11
ANXA10,10
ANXA11,20
ANXA2,7
ANXA2R,12
ANXA3,3
ANXA4,23
ANXA5,16
ANXA6,3
ANXA7,25
ANXA8,4
ANXA8L1,4
ANXA9,4
AOAH,1
AOC2,2
AOC3,18
AOPEP,16
AOX1,10
AP1AR,48
AP1B1,7
AP1G1,73
AP1G2,2
AP1M1,12
AP1M2,10
AP1S1,25
AP1S2,33
AP1S3,40
AP2A1,10
AP2A2,8
AP2B1,22
AP2M1,11
AP3B1,25
AP3B2,6
AP3D1,9
AP3M1,32
AP3M2,11
AP3S1,31
AP3S2,5
AP4B1,14
AP4E1,38
AP4M1,3
AP4S1,21
AP5B1,11
AP5M1,16
AP5Z1,6
APAF1,26
APBA1,45
APBA2,10
APBA3,3
APBB1,6
APBB1IP,2
APBB2,84
APBB3,11
APC,64
APC2,8
APCDD1,37
APCDD1L,4
APCS,5
APELA,32
APEX1,7
APEX2,4
APH1A,38
APH1B,15
API5,47
APIP,11
APLF,20
APLN,44
APLNR,18
APLP1,5
APLP2,33
APMAP,2
APOA2,3
APOA4,1
APOA5,8
APOB,12
APOBEC1,1
APOBEC2,6
APOBEC3A,11
APOBEC3B,11
APOBEC3C,3
APOBEC3D,9
APOBEC3F,28
APOBEC3G,3
APOBEC3H,7
APOBEC4,17
APOBR,2
APOC2,1
APOC4,3
APOD,3
APOF,1
APOH,3
APOL2,5
APOL3,3
APOL4,9
APOL5,1
APOL6,44
APOLD1,29
APOM,3
APOO,12
APOOL,47
APP,49
APPBP2,92
APPL1,103
APPL2,27
APRG1,23
APTX,10
AQP1,12
AQP10,2
AQP11,17
AQP2,15
AQP3,22
AQP4,57
AQP5,6
AQP6,8
AQP7,1
AQP8,2
AQP9,18
AQR,14
AR,55
ARAF,20
ARAP1,4
ARAP2,67
ARAP3,5
ARC,15
ARCN1,33
AREG,5
AREL1,32
ARF1,17
ARF3,43
ARF4,38
ARF5,2
ARF6,66
ARFGAP1,3
ARFGAP2,13
ARFGAP3,16
ARFGEF1,59
ARFGEF2,43
ARFGEF3,69
ARFIP1,47
ARFIP2,13
ARFRP1,20
ARG1,13
ARG2,17
ARGFX,24
ARGLU1,42
ARHGAP1,43
ARHGAP10,6
ARHGAP11A,29
ARHGAP12,93
ARHGAP15,6
ARHGAP17,17
ARHGAP18,16
ARHGAP19,28
ARHGAP20,46
ARHGAP21,69
ARHGAP23,9
ARHGAP24,38
ARHGAP25,5
ARHGAP26,46
ARHGAP27,3
ARHGAP28,56
ARHGAP29,49
ARHGAP30,10
ARHGAP31,8
ARHGAP32,63
ARHGAP33,10
ARHGAP35,24
ARHGAP36,24
ARHGAP39,6
ARHGAP4,1
ARHGAP40,3
ARHGAP42,40
ARHGAP44,28
ARHGAP45,4
ARHGAP5,81
ARHGAP6,51
ARHGAP8,2
ARHGAP9,8
ARHGDIA,35
ARHGDIB,7
ARHGDIG,3
ARHGEF1,4
ARHGEF10,34
ARHGEF10L,8
ARHGEF11,31
ARHGEF12,53
ARHGEF15,10
ARHGEF17,17
ARHGEF18,20
ARHGEF19,3
ARHGEF2,17
ARHGEF25,1
ARHGEF26,26
ARHGEF28,27
ARHGEF3,41
ARHGEF33,46
ARHGEF35,10
ARHGEF37,14
ARHGEF38,54
ARHGEF39,14
ARHGEF4,22
ARHGEF40,7
ARHGEF5,7
ARHGEF6,28
ARHGEF7,32
ARHGEF9,18
ARID1A,88
ARID1B,69
ARID2,116
ARID3A,18
ARID3B,70
ARID4A,106
ARID4B,116
ARID5A,1
ARID5B,58
ARIH1,83
ARIH2,15
ARIH2OS,1
ARL1,17
ARL10,15
ARL11,11
ARL13A,2
ARL13B,53
ARL14,5
ARL14EP,15
ARL14EPL,2
ARL15,45
ARL16,2
ARL17A,40
ARL17B,2
ARL2,12
ARL2BP,15
ARL3,27
ARL4A,23
ARL4C,37
ARL4D,7
ARL5A,71
ARL5B,48
ARL6,5
ARL6IP1,41
ARL6IP4,1
ARL6IP5,26
ARL6IP6,51
ARL8A,26
ARL8B,69
ARMC1,53
ARMC10,20
ARMC2,14
ARMC3,19
ARMC5,8
ARMC6,3
ARMC7,11
ARMC8,101
ARMC9,14
ARMCX1,9
ARMCX2,20
ARMCX3,43
ARMCX4,8
ARMCX5,8
ARMCX6,4
ARMH3,22
ARMH4,33
ARMS2,6
ARMT1,24
ARNT,19
ARNT2,43
ARNTL,28
ARNTL2,32
ARPC1A,10
ARPC1B,6
ARPC2,27
ARPC3,11
ARPC4,3
ARPC4-TTLL3,5
ARPC5,41
ARPC5L,11
ARPIN,17
ARPIN-AP3S2,5
ARPP19,90
ARPP21,38
ARRB1,65
ARRB2,18
ARRDC2,6
ARRDC3,68
ARRDC4,46
ARRDC5,4
ARSA,2
ARSB,20
ARSD,11
ARSF,4
ARSG,4
ARSI,4
ARSJ,29
ARSK,7
ARSL,2
ART3,11
ARTN,1
ARV1,4
ARVCF,7
ARX,19
AS3MT,20
ASAH1,22
ASAH2B,21
ASAP1,53
ASAP2,75
ASAP3,5
ASB1,14
ASB10,1
ASB11,20
ASB12,2
ASB13,12
ASB14,13
ASB15,15
ASB16,2
ASB2,6
ASB3,23
ASB4,29
ASB5,28
ASB6,19
ASB7,43
ASB8,29
ASB9,6
ASCC1,22
ASCC2,12
ASCC3,28
ASCL1,29
ASCL2,5
ASCL4,7
ASF1A,36
ASF1B,13
ASGR1,2
ASGR2,4
ASH1L,78
ASH2L,11
ASIC1,45
ASIC2,18
ASIC3,1
ASIC4,8
ASIC5,6
ASL,3
ASMTL,1
ASNS,3
ASNSD1,7
ASPA,11
ASPG,6
ASPH,107
ASPHD2,15
ASPM,2
ASPN,29
ASPRV1,2
ASRGL1,9
ASS1,3
ASTE1,3
ASTN1,52
ASTN2,32
ASXL1,38
ASXL2,37
ASXL3,70
ASZ1,8
ATAD1,40
ATAD2,49
ATAD2B,96
ATAD3B,1
ATAD3C,8
ATAD5,33
ATAT1,31
ATCAY,18
ATE1,29
ATF1,41
ATF2,69
ATF3,19
ATF5,3
ATF6,30
ATF6B,19
ATF7,60
ATF7IP,75
ATF7IP2,25
ATG10,13
ATG101,1
ATG12,25
ATG13,20
ATG14,81
ATG16L1,44
ATG16L2,10
ATG2A,4
ATG2B,37
ATG3,19
ATG4A,12
ATG4B,5
ATG4C,19
ATG4D,3
ATG5,34
ATG7,28
ATG9A,26
ATG9B,1
ATIC,1
ATL1,23
ATL2,91
ATL3,43
ATM,25
ATMIN,29
ATN1,8
ATOH7,6
ATOH8,10
ATOX1,2
ATP10A,22
ATP10B,29
ATP10D,26
ATP11A,62
ATP11AUN,8
ATP11B,31
ATP11C,99
ATP12A,26
ATP13A1,1
ATP13A2,5
ATP13A3,40
ATP13A4,9
ATP1A1,10
ATP1A2,29
ATP1A3,13
ATP1A4,3
ATP1B1,63
ATP1B2,41
ATP1B3,18
ATP1B4,56
ATP23,6
ATP2A1,9
ATP2A2,84
ATP2A3,11
ATP2B1,62
ATP2B2,56
ATP2B3,18
ATP2B4,75
ATP2C1,49
ATP2C2,2
ATP4A,1
ATP4B,14
ATP5F1A,5
ATP5F1B,4
ATP5F1C,5
ATP5F1D,1
ATP5F1E,4
ATP5IF1,11
ATP5MC1,1
ATP5MC2,7
ATP5MC3,22
ATP5MF,3
ATP5MF-PTCD1,7
ATP5MG,15
ATP5MGL,1
ATP5MJ,1
ATP5MK,7
ATP5PB,5
ATP5PF,1
ATP6AP1,4
ATP6AP1L,3
ATP6AP2,14
ATP6V0A1,6
ATP6V0A2,33
ATP6V0A4,3
ATP6V0B,13
ATP6V0C,6
ATP6V0D1,9
ATP6V0D2,12
ATP6V0E1,17
ATP6V0E2,4
ATP6V1A,49
ATP6V1B1,6
ATP6V1B2,35
ATP6V1C1,22
ATP6V1C2,23
ATP6V1D,8
ATP6V1E1,7
ATP6V1E2,1
ATP6V1F,10
ATP6V1FNB,4
ATP6V1G1,13
ATP6V1G2,13
ATP6V1G3,11
ATP6V1H,15
ATP7A,32
ATP7B,12
ATP8A1,101
ATP8A2,65
ATP8B1,32
ATP8B2,34
ATP8B3,4
ATP8B4,21
ATP9A,28
ATP9B,12
ATPAF1,18
ATPAF2,6
ATPSCKMT,10
ATR,3
ATRAID,3
ATRN,84
ATRNL1,42
ATRX,95
ATXN1,173
ATXN10,20
ATXN1L,79
ATXN2,45
ATXN2L,23
ATXN3,63
ATXN3L,2
ATXN7,137
ATXN7L1,60
ATXN7L2,14
ATXN7L3,54
ATXN7L3B,36
AUH,11
AUNIP,16
AUP1,1
AURKA,14
AURKC,1
AUTS2,80
AVEN,7
AVIL,18
AVL9,60
AVPI1,1
AVPR1A,28
AVPR2,5
AWAT1,7
AWAT2,6
AXDND1,1
AXIN1,7
AXIN2,36
AXL,9
AZGP1,2
AZI2,33
AZIN1,111
AZIN2,8
B2M,8
B3GALNT1,15
B3GALNT2,47
B3GALT1,22
B3GALT2,55
B3GALT4,2
B3GALT5,23
B3GALT6,3
B3GAT1,38
B3GAT2,4
B3GAT3,6
B3GLCT,44
B3GNT2,45
B3GNT3,11
B3GNT4,1
B3GNT5,60
B3GNT6,2
B3GNT7,32
B3GNT9,13
B3GNTL1,13
B4GALNT1,19
B4GALNT3,3
B4GALNT4,4
B4GALT1,34
B4GALT2,11
B4GALT3,11
B4GALT4,23
B4GALT5,33
B4GALT6,67
B4GALT7,6
B4GAT1,24
B9D1,27
BAALC,14
BAAT,19
BABAM1,1
BABAM2,5
BACE1,46
BACE2,26
BACH1,39
BACH2,151
BAG1,13
BAG2,19
BAG3,11
BAG4,51
BAG5,33
BAGE2,18
BAHCC1,38
BAHD1,50
BAIAP2,17
BAIAP2L1,12
BAIAP2L2,1
BAIAP3,2
BAK1,24
BAMBI,19
BANF1,6
BANK1,8
BANP,1
BAP1,22
BARD1,26
BARHL1,12
BARHL2,6
BARX1,2
BARX2,18
BASP1,29
BATF,1
BATF2,6
BATF3,1
BAX,6
BAZ1A,44
BAZ1B,29
BAZ2A,66
BAZ2B,82
BBC3,14
BBIP1,18
BBLN,1
BBOF1,23
BBOX1,8
BBS1,14
BBS10,29
BBS12,7
BBS2,3
BBS4,4
BBS5,16
BBS7,22
BBS9,15
BBX,144
BCAM,50
BCAN,12
BCAP29,48
BCAP31,2
BCAR1,5
BCAR3,13
BCAS1,18
BCAS2,6
BCAS3,4
BCAS4,2
BCAT1,74
BCAT2,12
BCCIP,32
BCDIN3D,13
BCHE,12
BCKDHA,1
BCKDHB,26
BCL10,26
BCL11A,131
BCL11B,122
BCL2,33
BCL2A1,4
BCL2L1,30
BCL2L10,8
BCL2L11,90
BCL2L12,7
BCL2L13,34
BCL2L14,8
BCL2L15,11
BCL2L2,41
BCL2L2-PABPN1,12
BCL3,8
BCL6,48
BCL6B,20
BCL7A,50
BCL7B,15
BCL9,59
BCL9L,11
BCLAF1,39
BCLAF3,43
BCO1,7
BCO2,14
BCOR,67
BCORL1,35
BCR,18
BDH1,5
BDH2,15
BDKRB2,15
BDNF,54
BDP1,43
BEAN1,26
BECN1,26
BEGAIN,20
BEND2,14
BEND3,34
BEND4,102
BEND6,35
BEND7,30
BEST1,10
BEST2,3
BEST3,31
BEST4,3
BET1,18
BET1L,11
BEX1,6
BEX2,9
BEX3,10
BEX4,7
BEX5,5
BFAR,10
BFSP1,1
BFSP2,3
BGLAP,1
BGN,2
BHLHB9,24
BHLHE22,41
BHLHE40,52
BHLHE41,37
BHMT,10
BHMT2,16
BICC1,77
BICD1,15
BICD2,107
BICDL1,20
BICDL2,2
BICRA,6
BICRAL,46
BID,14
BIK,4
BIN1,9
BIN2,5
BIN3,16
BIRC2,14
BIRC3,17
BIRC5,7
BIRC6,57
BIVM,26
BLCAP,51
BLID,5
BLM,3
BLMH,23
BLNK,4
BLOC1S2,18
BLOC1S3,10
BLOC1S4,9
BLOC1S5,23
BLOC1S6,36
BLVRA,2
BLVRB,3
BLZF1,37
BMERB1,7
BMF,41
BMI1,39
BMP1,9
BMP10,4
BMP2,44
BMP2K,34
BMP3,64
BMP4,17
BMP6,16
BMP7,15
BMP8A,9
BMP8B,6
BMPER,28
BMPR1A,64
BMPR1B,24
BMPR2,123
BMS1,12
BMT2,64
BMX,8
BNC1,28
BNC2,148
BNIP1,5
BNIP2,76
BNIP3,40
BNIP3L,28
BNIP5,10
BNIPL,4
BOC,12
BOD1,13
BOD1L1,42
BOD1L2,20
BOK,22
BOLA1,1
BOLA2-SMG1P6,13
BOLA3,11
BOLL,42
BORA,18
BORCS5,5
BORCS6,2
BORCS7,26
BORCS8,8
BPGM,11
BPHL,3
BPIFA1,2
BPIFA2,1
BPIFA3,3
BPIFB1,1
BPIFB2,8
BPIFB4,2
BPIFC,11
BPNT1,15
BPNT2,89
BPTF,81
BPY2,10
BPY2B,10
BPY2C,10
BRAF,19
BRAP,24
BRAT1,5
BRCA1,10
BRCA2,9
BRCC3,16
BRD1,50
BRD2,19
BRD3,24
BRD4,11
BRD7,3
BRD8,15
BRD9,2
BRDT,10
BRF1,3
BRF2,11
BRI3,11
BRI3BP,8
BRINP1,30
BRINP2,18
BRINP3,27
BRIP1,25
BRIX1,5
BRK1,14
BRME1,5
BRMS1,1
BRMS1L,35
BROX,32
BRPF1,22
BRPF3,59
BRSK1,4
BRSK2,10
BRWD1,143
BRWD3,175
BSCL2,5
BSDC1,40
BSG,2
BSN,71
BSND,1
BSPH1,2
BSPRY,10
BST1,9
BST2,1
BTAF1,85
BTBD1,44
BTBD10,47
BTBD11,33
BTBD17,1
BTBD18,2
BTBD19,2
BTBD2,2
BTBD3,60
BTBD6,5
BTBD7,91
BTBD8,14
BTBD9,28
BTC,17
BTD,11
BTF3,14
BTF3L4,68
BTG1,67
BTG2,82
BTG3,37
BTG4,6
BTK,8
BTLA,27
BTN1A1,8
BTN2A1,16
BTN2A2,26
BTN3A1,25
BTN3A2,15
BTN3A3,7
BTNL3,4
BTNL8,6
BTNL9,14
BTRC,67
BUB1,7
BUB1B,6
BUB3,11
BUD23,1
BVES,26
BYSL,3
BZW1,58
BZW2,13
C10orf105,16
C10orf53,1
C10orf55,5
C10orf62,3
C10orf67,3
C10orf71,3
C10orf82,5
C10orf88,19
C10orf90,12
C10orf95,1
C10orf99,4
C11orf1,10
C11orf16,2
C11orf21,3
C11orf24,18
C11orf52,2
C11orf53,7
C11orf54,31
C11orf58,47
C11orf68,6
C11orf71,16
C11orf86,2
C11orf87,72
C11orf91,5
C11orf96,11
C11orf97,7
C11orf98,2
C12orf29,29
C12orf4,17
C12orf40,18
C12orf42,5
C12orf43,5
C12orf50,10
C12orf54,1
C12orf56,7
C12orf60,4
C12orf71,5
C12orf73,15
C12orf75,18
C12orf76,17
C14orf119,8
C14orf132,23
C14orf180,2
C14orf28,62
C14orf39,12
C14orf93,5
C15orf32,9
C15orf39,16
C15orf40,41
C15orf48,10
C15orf61,13
C15orf62,2
C16orf46,14
C16orf54,9
C16orf72,54
C16orf74,1
C16orf82,5
C16orf87,17
C16orf90,3
C16orf91,3
C16orf92,1
C16orf95,5
C17orf100,11
C17orf107,10
C17orf49,11
C17orf50,3
C17orf58,15
C17orf64,5
C17orf67,13
C17orf75,32
C17orf78,5
C17orf80,11
C17orf97,9
C17orf98,2
C18orf21,8
C18orf25,90
C18orf32,15
C18orf54,29
C18orf63,35
C19orf12,25
C19orf18,2
C19orf25,2
C19orf33,1
C19orf38,4
C19orf44,9
C19orf47,19
C19orf53,3
C19orf54,11
C19orf73,7
C19orf84,12
C1D,13
C1GALT1,37
C1GALT1C1,13
C1GALT1C1L,5
C1orf105,7
C1orf109,16
C1orf112,8
C1orf115,14
C1orf116,8
C1orf122,3
C1orf127,1
C1orf131,8
C1orf141,23
C1orf146,3
C1orf159,2
C1orf162,3
C1orf167,3
C1orf174,12
C1orf185,9
C1orf198,19
C1orf21,84
C1orf210,17
C1orf216,6
C1orf226,12
C1orf35,6
C1orf43,12
C1orf50,3
C1orf52,21
C1orf53,6
C1orf56,9
C1orf68,3
C1orf74,22
C1orf87,2
C1orf94,8
C1QA,1
C1QB,4
C1QBP,10
C1QC,3
C1QL1,5
C1QL2,1
C1QL3,19
C1QL4,4
C1QTNF1,9
C1QTNF2,4
C1QTNF3,25
C1QTNF5,4
C1QTNF6,14
C1QTNF7,27
C1QTNF8,1
